,^GSPTSE,^GSPTSE,^TWII,^TWII,^AXJO,^AXJO,^GSPC,^GSPC,^N225,^N225,^KS11,^KS11,FTSEMIB.MI,FTSEMIB.MI,^FTSE,^FTSE,^SSMI,^SSMI,^NSEI,^NSEI,^NDX,^NDX,^GDAXI,^GDAXI,^FCHI,^FCHI,MSCI_China,MSCI_China
,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,4004.3999023,164600.0,,,,,359.69,162070000.0,,,,,,,2433.1,0.0,,,,,227.73,0.0,1788.8900146,0.0,,,,
1990-01-03,4009.5,147600.0,,,,,358.76,192330000.0,,,908.59,0.0,,,2463.7,0.0,,,,,226.1,0.0,1867.2900391,0.0,,,,
1990-01-04,4000.8999023,297100.0,,,,,355.67,177000000.0,38713.0,0.0,928.82,0.0,,,2451.6,0.0,,,,,224.71,0.0,1830.9200439,0.0,,,,
1990-01-05,3990.3999023,279500.0,,,,,352.2,158530000.0,38275.0,0.0,915.11,0.0,,,2444.5,0.0,,,,,223.14,0.0,1812.9000244,0.0,,,,
1990-01-08,3971.1000977,242800.0,,,,,353.79,140110000.0,38295.0,0.0,919.46,0.0,,,2431.3,0.0,,,,,223.54,0.0,1841.4699707,0.0,,,,
1990-01-09,3952.3999023,251400.0,,,,,349.62,155210000.0,37951.0,0.0,920.21,0.0,,,2436.3,0.0,,,,,221.18,0.0,1865.5200195,0.0,,,,
1990-01-10,3941.6000977,340600.0,,,,,347.31,175990000.0,37697.0,0.0,911.48,0.0,,,2418.3,0.0,,,,,216.55,0.0,1843.0500488,0.0,,,,
1990-01-11,3941.6999512,344500.0,,,,,348.53,154390000.0,38170.0,0.0,903.27,0.0,,,2417.9,0.0,,,,,213.51,0.0,1843.4200439,0.0,,,,
1990-01-12,3881.8000488,432100.0,,,,,339.93,183880000.0,37517.0,0.0,903.11,0.0,,,2380.3,0.0,,,,,208.79,0.0,1860.9599609,0.0,,,,
