,VEA,VEA,VEA,VEA,VEA,VEA,GLD,GLD,GLD,GLD,GLD,GLD,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX,^RUT,^RUT,^RUT,^RUT,^RUT,^RUT,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,VWO,VWO,VWO,VWO,VWO,VWO,VGK,VGK,VGK,VGK,VGK,VGK,FXI,FXI,FXI,FXI,FXI,FXI,EWJ,EWJ,EWJ,EWJ,EWJ,EWJ,INDA,INDA,INDA,INDA,INDA,INDA,SLV,SLV,SLV,SLV,SLV,SLV,USO,USO,USO,USO,USO,USO,UNG,UNG,UNG,UNG,UNG,UNG,DBA,DBA,DBA,DBA,DBA,DBA,CPER,CPER,CPER,CPER,CPER,CPER,DBB,DBB,DBB,DBB,DBB,DBB,PALL,PALL,PALL,PALL,PALL,PALL,PLTM,PLTM,PLTM,PLTM,PLTM,PLTM,WEAT,WEAT,WEAT,WEAT,WEAT,WEAT,SOYB,SOYB,SOYB,SOYB,SOYB,SOYB,CORN,CORN,CORN,CORN,CORN,CORN,CANE,CANE,CANE,CANE,CANE,CANE,SPY,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,IWM,IWM,IWM,IWM,IWM,IWM,DIA,DIA,DIA,DIA,DIA,DIA,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLU,XLU,XLU,XLU,XLU,XLU,XLI,XLI,XLI,XLI,XLI,XLI,XLV,XLV,XLV,XLV,XLV,XLV,XLK,XLK,XLK,XLK,XLK,XLK,XLB,XLB,XLB,XLB,XLB,XLB,XLY,XLY,XLY,XLY,XLY,XLY,XLP,XLP,XLP,XLP,XLP,XLP,IYZ,IYZ,IYZ,IYZ,IYZ,IYZ,IYR,IYR,IYR,IYR,IYR,IYR,MGK,MGK,MGK,MGK,MGK,MGK,MGV,MGV,MGV,MGV,MGV,MGV,IVW,IVW,IVW,IVW,IVW,IVW,IVE,IVE,IVE,IVE,IVE,IVE,IWO,IWO,IWO,IWO,IWO,IWO,IWN,IWN,IWN,IWN,IWN,IWN,OEF,OEF,OEF,OEF,OEF,OEF,IWC,IWC,IWC,IWC,IWC,IWC,IWR,IWR,IWR,IWR,IWR,IWR
,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,,,,,,,,,,,,,353.4,359.69,351.98,359.69,162070000.0,355.83500000000004,223.84,227.73,220.43,227.73,0.0,224.07999999999998,168.309998,169.960007,168.220001,169.949997,162070000,169.090004,2748.719971,2811.649902,2732.51001,2810.149902,20680000.0,2772.079956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-03,,,,,,,,,,,,,359.69,360.59,357.89,358.76,192330000.0,359.24,227.73,228.94,226.1,226.1,0.0,227.51999999999998,169.960007,170.800003,169.960007,170.789993,192330000,170.38000499999998,2814.199951,2834.040039,2786.26001,2809.72998,23620000.0,2810.1500244999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-04,,,,,,,,,,,,,358.76,358.76,352.89,355.67,177000000.0,355.825,226.1,226.18,222.71,224.71,0.0,224.445,170.779999,170.789993,169.580002,170.089996,177000000,170.1849975,2804.389893,2821.459961,2766.419922,2796.080078,24370000.0,2793.9399415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,355.67,355.67,351.35,352.2,158530000.0,353.51,224.71,224.79,222.89,223.14,0.0,223.83999999999997,170.089996,170.119995,169.440002,169.649994,158530000,169.77999849999998,2786.899902,2810.149902,2758.110107,2773.25,20290000.0,2784.1300045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,352.2,354.24,350.54,353.79,140110000.0,352.39,223.14,223.58,221.64,223.54,0.0,222.61,169.669998,169.679993,169.050003,169.550003,140110000,169.364998,2761.72998,2803.969971,2753.409912,2794.370117,16610000.0,2778.6899415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,,,,353.83,354.17,349.61,349.62,155210000.0,351.89,223.54,224.33,221.08,221.18,0.0,222.705,169.539993,169.860001,169.240005,169.300003,155210000,169.550003,2792.879883,2810.790039,2760.030029,2766.0,15800000.0,2785.410034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,349.62,349.62,344.32,347.31,175990000.0,346.97,221.18,221.18,216.46,216.55,0.0,218.82,169.309998,169.309998,167.809998,167.940002,175990000,168.559998,2758.110107,2772.820068,2725.469971,2750.639893,19950000.0,2749.1450194999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,,,,347.31,350.14,347.31,348.53,154390000.0,348.725,216.55,218.22,213.51,213.51,0.0,215.865,167.929993,168.369995,167.820007,168.009995,154390000,168.095001,2764.929932,2783.27002,2748.290039,2760.669922,15790000.0,2765.7800294999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,348.53,348.53,339.49,339.93,183880000.0,344.01,213.51,213.51,208.4,208.79,0.0,210.95499999999998,168.020004,168.020004,164.229996,164.369995,183880000,166.125,2722.050049,2735.919922,2675.97998,2689.209961,24180000.0,2705.949951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-15,,,,,,,,,,,,,339.93,339.94,336.57,337.0,140590000.0,338.255,208.79,209.34,207.29,207.62,0.0,208.315,164.369995,164.369995,162.850006,162.929993,140590000,163.6100005,2682.379883,2698.110107,2656.360107,2669.370117,18630000.0,2677.235107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
