date,CADUSD,TWDUSD,AUDUSD,JPYUSD,KRWUSD,EURUSD,GBPUSD,CHFUSD,INRUSD
1990-01-02,0.8619,,0.7844,0.006839,,1.1402,1.6125,0.6324,
1990-01-03,0.8619,,0.7818,0.006865,,1.135,1.6095,0.6331,
1990-01-04,0.8611,,0.7889,0.006978,,1.1672,1.629,0.6505,
1990-01-05,0.8615,,0.785,0.006954,,1.1606,1.637,0.6472,
1990-01-08,0.862,,0.785,0.006937,,1.1735,1.653,0.656,
1990-01-09,0.8617,,0.7867,0.006884,,1.1672,1.652,0.6591,
1990-01-10,0.8635,,0.789,0.006887,,1.1645,1.664,0.6596,
1990-01-11,0.8651,,0.792,0.006879,,1.1641,1.6575,0.664,
1990-01-12,0.8641,,0.7931,0.006877,,1.162,1.664,0.6673,
1990-01-15,0.8589,,0.7925,0.006875,,1.1528,1.6635,0.6597,
1990-01-16,0.8593,,0.79,0.006872,,1.1532,1.6575,0.6625,
1990-01-17,0.858,,0.7933,0.006872,,1.1586,1.652,0.6635,
1990-01-18,0.8534,,0.7953,0.006832,,1.1416,1.644,0.6562,
1990-01-19,0.8449,,0.7937,0.006861,,1.143,1.6465,0.6568,
1990-01-22,0.8478,,0.7962,0.006828,,1.134,1.6372,0.6512,
1990-01-23,0.848,,0.7695,0.006846,,1.1514,1.65,0.6635,
1990-01-24,0.8437,,0.7641,0.006879,,1.1551,1.652,0.6688,
1990-01-25,0.8415,,0.7605,0.00693,,1.1596,1.6575,0.6734,
1990-01-26,0.8363,,0.762,0.006973,,1.1592,1.6635,0.6707,
1990-01-29,0.8415,,0.7627,0.006983,,1.1647,1.6805,0.6747,
1990-01-30,0.8419,,0.7652,0.006939,,1.1518,1.682,0.6671,
1990-01-31,0.8423,,0.7698,0.006918,,1.161,1.6805,0.6653,
1990-02-01,0.8429,,0.7716,0.006903,,1.1668,1.6835,0.6695,
1990-02-02,0.8408,,0.7743,0.006875,,1.1623,1.6835,0.6704,
1990-02-05,0.8421,,0.7678,0.006908,,1.1774,1.7005,0.6789,
