,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^TWII,^TWII,^TWII,^TWII,^TWII,^TWII,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO,^AXJO,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^N225,^N225,^N225,^N225,^N225,^N225,^KS11,^KS11,^KS11,^KS11,^KS11,^KS11,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,FTSEMIB.MI,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE,^SSMI,^SSMI,^SSMI,^SSMI,^SSMI,^SSMI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI,MSCI_China,MSCI_China
,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-02,3962.1999512,4004.3999023,3962.1999512,4004.3999023,164600.0,3986.94352,,,,,,,,,,,,,353.4,359.69,351.98,359.69,162070000.0,357.12,,,,,,,,,,,,,,,,,,,2442.4,2443.3,2425.5,2433.1,0.0,2436.075,,,,,,,,,,,,,223.84,227.73,220.43,227.73,0.0,224.9325,1788.8900146,1788.8900146,1788.8900146,1788.8900146,0.0,0.0,,,,,,,,
1990-01-03,4014.3000488,4020.8999023,4007.1999512,4009.5,147600.0,4009.13932,,,,,,,,,,,,,359.69,360.59,357.89,358.76,192330000.0,359.08,,,,,,,909.72,909.72,877.04,908.59,0.0,901.2675,,,,,,,2451.3,2466.2,2445.8,2463.7,0.0,2456.75,,,,,,,,,,,,,227.73,228.94,226.1,226.1,0.0,227.2175,1867.2900391,1867.2900391,1867.2900391,1867.2900391,0.0,0.0,,,,,,,,
1990-01-04,4011.1999512,4016.1999512,3996.6999512,4000.8999023,297100.0,4001.2133,,,,,,,,,,,,,358.76,358.76,352.89,355.67,177000000.0,355.77,38922.0,38951.0,38705.0,38713.0,0.0,38822.75,911.21,933.24,911.21,928.82,0.0,921.12,,,,,,,2469.6,2479.4,2451.6,2451.6,0.0,2463.05,,,,,,,,,,,,,226.1,226.18,222.71,224.71,0.0,224.925,1830.9200439,1830.9200439,1830.9200439,1830.9200439,0.0,0.0,,,,,,,,
1990-01-05,3997.6999512,4007.6000977,3989.3000488,3990.3999023,279500.0,3992.38883,,,,,,,,,,,,,355.67,355.67,351.35,352.2,158530000.0,353.07,38717.0,38786.0,38091.0,38275.0,0.0,38467.25,926.56,931.56,913.66,915.11,0.0,921.7225,,,,,,,2447.9,2448.7,2439.7,2444.5,0.0,2445.2,,,,,,,,,,,,,224.71,224.79,222.89,223.14,0.0,223.8825,1812.9000244,1812.9000244,1812.9000244,1812.9000244,0.0,0.0,,,,,,,,
1990-01-08,3981.1999512,3981.1999512,3963.0,3971.1000977,242800.0,3968.40511,,,,,,,,,,,,,352.2,354.24,350.54,353.79,140110000.0,352.86,38332.0,38564.0,38121.0,38295.0,0.0,38328.0,916.33,920.48,909.22,919.46,0.0,916.3725,,,,,,,2444.5,2445.6,2423.8,2431.3,0.0,2436.3,,,,,,,,,,,,,223.14,223.58,221.64,223.54,0.0,222.975,1841.4699707,1841.4699707,1841.4699707,1841.4699707,0.0,0.0,,,,,,,,
1990-01-09,3974.1000977,3974.1000977,3951.1000977,3952.3999023,251400.0,3955.85433,,,,,,,,,,,,,353.83,354.17,349.61,349.62,155210000.0,351.13,38281.0,38297.0,37730.0,37951.0,0.0,38064.75,923.82,923.82,914.64,920.21,0.0,920.6225,,,,,,,2429.1,2437.8,2420.5,2436.3,0.0,2430.925,,,,,,,,,,,,,223.54,224.33,221.08,221.18,0.0,222.5325,1865.5200195,1865.5200195,1865.5200195,1865.5200195,0.0,0.0,,,,,,,,
1990-01-10,3943.6999512,3946.1000977,3932.6999512,3941.6000977,340600.0,3936.79679,,,,,,,,,,,,,349.62,349.62,344.32,347.31,175990000.0,347.08,37928.0,37928.0,37460.0,37697.0,0.0,37753.25,920.79,920.79,911.35,911.48,0.0,916.1025,,,,,,,2424.5,2425.2,2411.9,2418.3,0.0,2419.975,,,,,,,,,,,,,221.18,221.18,216.46,216.55,0.0,218.8425,1843.0500488,1843.0500488,1843.0500488,1843.0500488,0.0,0.0,,,,,,,,
1990-01-11,3945.0,3947.5,3937.6999512,3941.6999512,344500.0,3938.96338,,,,,,,,,,,,,347.31,350.14,347.31,348.53,154390000.0,348.66,37706.0,38170.0,37604.0,38170.0,0.0,37912.5,907.34,913.24,903.27,903.27,0.0,906.78,,,,,,,2420.5,2421.0,2396.5,2417.9,0.0,2413.975,,,,,,,,,,,,,216.55,218.22,213.51,213.51,0.0,215.4475,1843.4200439,1843.4200439,1843.4200439,1843.4200439,0.0,0.0,,,,,,,,
1990-01-12,3907.6000977,3907.6000977,3879.6999512,3881.8000488,432100.0,3886.41406,,,,,,,,,,,,,348.53,348.53,339.49,339.93,183880000.0,342.65,38130.0,38130.0,37517.0,37517.0,0.0,37823.5,903.76,905.6,896.75,903.11,0.0,902.305,,,,,,,2402.9,2402.9,2370.9,2380.3,0.0,2389.25,,,,,,,,,,,,,213.51,213.51,208.4,208.79,0.0,211.0525,1860.9599609,1860.9599609,1860.9599609,1860.9599609,0.0,0.0,,,,,,,,
1990-01-15,3885.8000488,3898.8999023,3873.0,3894.0,235200.0,3885.33708,,,,,,,,,,,,,339.93,339.94,336.57,337.0,140590000.0,337.84,,,,,,,888.53,892.71,883.02,883.04,0.0,886.825,,,,,,,2354.4,2366.4,2352.8,2366.2,0.0,2359.95,,,,,,,,,,,,,208.79,209.34,207.29,207.62,0.0,208.26,1840.3800049,1840.3800049,1840.3800049,1840.3800049,0.0,0.0,,,,,,,,
1990-01-16,3872.6000977,3902.0,3872.6000977,3900.0,315100.0,3888.2321,,,,,,,,,,,,,337.0,340.75,333.37,340.75,186070000.0,338.29,37469.0,37469.0,36658.0,36850.0,0.0,37111.5,881.23,884.47,874.34,883.43,0.0,880.8675,,,,,,,2369.4,2369.7,2329.5,2349.1,0.0,2354.425,,,,,,,,,,,,,207.62,212.0,204.76,211.91,0.0,209.0725,1806.0999756,1806.0999756,1806.0999756,1806.0999756,0.0,0.0,,,,,,,,
1990-01-17,3894.0,3897.1999512,3872.3000488,3872.3000488,327600.0,3877.32218,,,,,,,,,,,,,340.77,342.01,336.26,337.4,170470000.0,338.56,36894.0,37285.0,36821.0,36821.0,0.0,36955.25,882.65,882.65,874.41,874.41,0.0,878.53,,,,,,,2355.6,2373.9,2355.5,2373.9,0.0,2364.725,,,,,,,,,,,,,211.91,213.9,210.45,210.6,0.0,211.715,1810.6099854,1810.6099854,1810.6099854,1810.6099854,0.0,0.0,,,,,,,,
