,XLE,XLE,XLE,XLE,XLE,XLE,XLF,XLF,XLF,XLF,XLF,XLF,XLU,XLU,XLU,XLU,XLU,XLU,XLI,XLI,XLI,XLI,XLI,XLI,XLV,XLV,XLV,XLV,XLV,XLV,XLK,XLK,XLK,XLK,XLK,XLK,XLB,XLB,XLB,XLB,XLB,XLB,XLY,XLY,XLY,XLY,XLY,XLY,XLP,XLP,XLP,XLP,XLP,XLP,XLRE,XLRE,XLRE,XLRE,XLRE,XLRE,XLC,XLC,XLC,XLC,XLC,XLC
,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-22,23.31,23.39,23.19,23.27,15200,23.29,19.05,19.05,18.85,18.93,55920,18.950000000000003,30.25,30.25,29.83,29.83,7900,30.04,23.22,23.28,23.22,23.28,600,23.25,24.81,25.06,24.81,25.03,5700,24.935,32.41,32.5,31.78,32.05,300500,32.14,20.78,20.83,20.75,20.83,1900,20.79,25.31,25.47,25.31,25.47,3700,25.39,25.88,26.53,25.88,26.5,150300,26.205,,,,,,,,,,,,
1998-12-23,23.34,23.75,23.31,23.75,67800,23.53,18.85,19.21,18.85,19.21,78830,19.03,29.8,29.8,29.64,29.7,24100,29.72,23.45,23.75,23.45,23.69,900,23.6,25.19,25.59,25.19,25.59,18100,25.39,32.75,32.81,32.16,32.81,338300,32.485,20.97,21.14,20.97,21.05,700,21.055,25.5,25.75,25.47,25.58,12000,25.61,26.8,27.14,26.69,27.14,44000,26.915,,,,,,,,,,,,
1998-12-24,23.81,23.81,23.59,23.63,12300,23.7,19.21,19.33,19.14,19.33,43849,19.235,30.22,30.31,30.16,30.25,23800,30.235,23.91,24.02,23.83,24.0,1400,23.924999999999997,25.63,25.75,25.52,25.75,4900,25.634999999999998,32.81,32.81,32.56,32.69,243700,32.685,21.3,21.53,21.2,21.53,1500,21.365000000000002,25.94,26.05,25.81,26.05,1600,25.93,27.14,27.14,27.0,27.09,45500,27.07,,,,,,,,,,,,
1998-12-28,23.75,23.75,23.34,23.5,13500,23.545,19.32,19.32,19.03,19.08,51978,19.175,30.19,30.25,30.05,30.09,3100,30.15,24.0,24.14,24.0,24.13,7400,24.07,25.67,25.75,25.38,25.38,15500,25.564999999999998,33.19,33.19,32.59,32.78,309300,32.89,21.5,21.5,21.31,21.34,2500,21.405,25.92,25.94,25.81,25.81,8600,25.875,27.14,27.16,26.81,26.94,25400,26.985,,,,,,,,,,,,
1998-12-29,23.56,23.73,23.34,23.73,22000,23.535,19.1,19.28,18.88,19.28,100878,19.08,30.22,30.67,30.22,30.59,12000,30.445,24.25,24.47,24.25,24.47,1400,24.36,25.38,25.94,25.38,25.94,5300,25.66,32.94,33.02,32.5,32.88,123800,32.760000000000005,21.73,21.73,21.73,21.73,100,21.73,25.89,26.38,25.89,26.38,1100,26.134999999999998,26.95,27.56,25.98,27.53,123500,26.77,,,,,,,,,,,,
1998-12-30,23.72,23.72,23.36,23.38,21800,23.54,19.18,19.31,19.08,19.21,154704,19.195,30.75,30.83,30.34,30.34,70400,30.585,24.45,24.45,24.3,24.36,2800,24.375,26.0,26.03,25.72,25.72,17300,25.875,32.69,33.14,32.58,32.75,95600,32.86,21.72,21.72,21.67,21.67,800,21.695,26.36,26.41,26.16,26.16,31700,26.285,27.53,27.61,27.31,27.36,10200,27.46,,,,,,,,,,,,
1998-12-31,23.34,23.34,23.22,23.34,13000,23.28,19.21,19.23,19.03,19.03,65404,19.130000000000003,30.23,30.23,30.03,30.23,21600,30.130000000000003,24.36,24.56,24.31,24.56,33100,24.435,25.81,26.0,25.75,26.0,6600,25.875,32.75,32.91,32.34,32.63,77200,32.625,21.86,22.0,21.86,21.92,3300,21.93,26.16,26.25,26.13,26.13,32400,26.189999999999998,27.3,27.42,27.08,27.16,66300,27.25,,,,,,,,,,,,
1999-01-04,23.28,23.75,23.28,23.33,28600,23.515,18.8,19.35,18.8,19.03,250779,19.075000000000003,30.02,30.25,29.63,29.75,109300,29.939999999999998,24.59,24.84,24.22,24.22,6400,24.53,26.25,26.38,25.78,25.94,249200,26.08,32.66,33.56,32.59,33.0,650600,33.075,21.94,22.25,21.66,21.66,13000,21.955,26.16,26.53,25.91,25.97,5200,26.22,27.38,27.59,26.73,26.94,50000,27.16,,,,,,,,,,,,
