,IWR,IWR,IWR,IWR,IWR,IWR,IWC,IWC,IWC,IWC,IWC,IWC
,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap
date,,,,,,,,,,,,
2001-07-20,14.78,14.78,14.78,14.78,400,14.78,,,,,,
2001-07-23,10.6958254643,10.6958254643,10.6958254643,10.6958254643,0,10.6958254643,,,,,,
2001-07-24,10.6958254643,10.6958254643,10.6958254643,10.6958254643,0,10.6958254643,,,,,,
2001-07-25,10.6958254643,10.6958254643,10.6958254643,10.6958254643,0,10.6958254643,,,,,,
2001-07-26,10.6958254643,10.6958254643,10.6958254643,10.6958254643,0,10.6958254643,,,,,,
2001-07-27,10.6958254643,10.6958254643,10.6958254643,10.6958254643,0,10.6958254643,,,,,,
2001-07-30,14.85,14.85,14.79,14.79,8800,14.82,,,,,,
2001-07-31,10.7103037391,10.7103037391,10.7103037391,10.7103037391,0,10.7103037391,,,,,,
2001-08-01,10.7103037391,10.7103037391,10.7103037391,10.7103037391,0,10.7103037391,,,,,,
2001-08-02,15.03,15.03,14.97,14.97,2400,15.0,,,,,,
2001-08-03,10.8406082117,10.8406082117,10.8406082117,10.8406082117,0,10.8406082117,,,,,,
2001-08-06,14.92,14.92,14.84,14.84,4000,14.879999999999999,,,,,,
2001-08-07,10.7392602886,10.7392602886,10.7392602886,10.7392602886,0,10.7392602886,,,,,,
2001-08-08,14.7,14.7,14.55,14.55,1600,14.625,,,,,,
2001-08-09,10.5329448735,10.5329448735,10.5329448735,10.5329448735,0,10.5329448735,,,,,,
2001-08-10,10.5329448735,10.5329448735,10.5329448735,10.5329448735,0,10.5329448735,,,,,,
2001-08-13,14.61,14.61,14.61,14.61,800,14.61,,,,,,
2001-08-14,14.73,14.73,14.73,14.73,400,14.73,,,,,,
2001-08-15,14.64,14.64,14.64,14.64,400,14.64,,,,,,
2001-08-16,14.47,14.51,14.47,14.51,2000,14.49,,,,,,
2001-08-17,14.55,14.55,14.47,14.47,2800,14.510000000000002,,,,,,
2001-08-20,10.4786513432,10.4786513432,10.4786513432,10.4786513432,0,10.4786513432,,,,,,
2001-08-21,14.49,14.49,14.37,14.37,800,14.43,,,,,,
2001-08-22,14.4,14.4,14.4,14.4,400,14.4,,,,,,
2001-08-23,14.51,14.51,14.51,14.51,3600,14.51,,,,,,
2001-08-24,10.5021785397,10.5021785397,10.5021785397,10.5021785397,0,10.5021785397,,,,,,
2001-08-27,14.71,14.71,14.64,14.64,2000,14.675,,,,,,
2001-08-28,14.68,14.68,14.68,14.68,4000,14.68,,,,,,
