,IVW,IVW,IVW,IVW,IVW,IVW,IVE,IVE,IVE,IVE,IVE,IVE,IWO,IWO,IWO,IWO,IWO,IWO,IWN,IWN,IWN,IWN,IWN,IWN,IWF,IWF,IWF,IWF,IWF,IWF,IWD,IWD,IWD,IWD,IWD,IWD,VTHR,VTHR,VTHR,VTHR,VTHR,VTHR
,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap,open,high,low,close,volume,vwap
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-26,20.25,20.37,20.24,20.24,728400,20.305,59.61,59.61,59.31,59.31,2900,59.46,,,,,,,,,,,,,78.19,78.19,78.14,78.14,10300,78.16499999999999,55.5,55.73,55.44,55.5,9500,55.584999999999994,,,,,,
2000-05-30,20.66,21.13,20.63,21.1,92800,20.88,59.91,60.22,59.91,60.22,1800,60.065,,,,,,,,,,,,,79.48,79.63,79.48,79.63,1100,79.555,55.89,56.14,55.89,56.14,1200,56.015,,,,,,
2000-05-31,21.08,21.33,21.03,21.03,54000,21.18,60.19,60.8,60.19,60.67,12200,60.495,,,,,,,,,,,,,80.97,82.09,80.97,82.09,1000,81.53,56.52,56.83,56.52,56.55,25500,56.675,,,,,,
2000-06-01,21.42,21.55,21.21,21.34,62800,21.380000000000003,60.78,61.42,60.69,61.42,25400,61.055,,,,,,,,,,,,,82.05,83.19,82.05,82.88,5200,82.62,56.81,57.33,56.81,57.06,15300,57.07,,,,,,
2000-06-02,22.04,22.05,21.88,22.05,56000,21.965,62.47,62.59,62.28,62.28,10000,62.435,,,,,,,,,,,,,85.52,85.89,85.23,85.89,8000,85.56,58.38,58.52,58.09,58.09,14200,58.30500000000001,,,,,,
2000-06-05,21.97,22.03,21.93,21.94,90800,21.98,62.34,62.34,61.92,62.0,15500,62.13,,,,,,,,,,,,,85.13,86.0,85.13,85.39,20400,85.565,58.0,58.0,57.72,57.78,1600,57.86,,,,,,
2000-06-06,21.81,22.02,21.76,21.76,21600,21.89,61.86,61.92,61.86,61.92,4100,61.89,,,,,,,,,,,,,85.38,85.67,85.38,85.61,400,85.525,57.64,57.64,57.52,57.63,2100,57.58,,,,,,
2000-06-07,21.84,22.07,21.73,22.05,40400,21.9,61.7,62.08,61.7,62.0,4800,61.89,,,,,,,,,,,,,84.41,85.28,84.41,85.28,1200,84.845,57.67,57.84,57.67,57.72,20400,57.755,,,,,,
2000-06-08,22.09,22.09,21.92,21.97,39200,22.005000000000003,61.88,61.88,61.31,61.44,16000,61.595,,,,,,,,,,,,,85.63,85.64,84.75,84.75,13400,85.195,57.78,57.78,57.34,57.34,19200,57.56,,,,,,
2000-06-09,21.97,22.04,21.92,21.92,2400,21.98,61.8,61.8,61.16,61.16,7100,61.48,,,,,,,,,,,,,85.66,85.66,85.05,85.05,1700,85.35499999999999,57.73,57.73,57.33,57.33,4100,57.53,,,,,,
2000-06-12,21.88,21.93,21.64,21.66,20400,21.785,61.56,61.56,61.48,61.5,1800,61.519999999999996,,,,,,,,,,,,,85.3,85.38,83.86,83.86,3800,84.62,57.41,57.47,57.41,57.47,4200,57.44,,,,,,
2000-06-13,21.59,22.09,21.56,22.09,24400,21.825,61.22,61.22,61.05,61.05,4300,61.135,,,,,,,,,,,,,83.22,85.3,83.22,85.3,7600,84.25999999999999,57.14,57.61,57.14,57.55,20400,57.375,,,,,,
2000-06-14,22.2,22.36,22.15,22.18,119600,22.255,61.69,61.98,61.69,61.8,4500,61.834999999999994,,,,,,,,,,,,,85.94,85.94,85.56,85.56,600,85.75,57.78,57.92,57.63,57.66,115000,57.775000000000006,,,,,,
2000-06-15,22.19,22.51,22.19,22.42,223200,22.35,61.59,61.59,60.89,61.08,5000,61.24,,,,,,,,,,,,,85.5,85.5,85.5,85.5,2600,85.5,57.84,57.84,57.06,57.09,30800,57.45,,,,,,
2000-06-16,22.47,22.53,22.4,22.5,10400,22.465,61.58,61.63,59.95,60.05,25400,60.790000000000006,,,,,,,,,,,,,86.52,86.83,85.91,85.94,282100,86.37,57.25,57.25,56.25,56.25,2100,56.75,,,,,,
2000-06-19,22.38,22.55,22.38,22.55,2800,22.465,60.25,60.59,60.13,60.5,12300,60.36,,,,,,,,,,,,,86.16,88.0,86.16,88.0,9500,87.08,56.28,56.77,56.28,56.61,13900,56.525000000000006,,,,,,
2000-06-20,22.88,22.88,22.6,22.61,3200,22.740000000000002,60.38,60.38,59.88,60.16,40900,60.13,,,,,,,,,,,,,87.95,88.17,87.47,87.59,111700,87.82,56.44,56.63,56.0,56.0,19500,56.315,,,,,,
2000-06-21,22.77,22.83,22.65,22.83,20800,22.74,59.91,59.95,59.66,59.78,5800,59.805,,,,,,,,,,,,,87.44,88.0,87.22,87.69,16100,87.61,56.06,56.25,55.97,55.97,18000,56.11,,,,,,
2000-06-22,22.73,22.73,22.27,22.29,45200,22.5,59.83,59.83,59.19,59.34,4900,59.51,,,,,,,,,,,,,87.59,87.59,85.92,85.92,7300,86.755,56.06,56.06,55.55,55.59,8200,55.805,,,,,,
2000-06-23,22.16,22.27,22.16,22.18,14000,22.215,59.61,59.61,59.02,59.02,20100,59.315,,,,,,,,,,,,,85.44,85.44,85.25,85.34,700,85.345,55.83,55.92,55.5,55.5,1700,55.71,,,,,,
2000-06-26,22.22,22.38,22.14,22.38,50400,22.259999999999998,59.53,59.53,59.16,59.41,11900,59.345,,,,,,,,,,,,,85.59,85.81,85.33,85.77,12000,85.57,55.67,56.02,55.52,55.61,13900,55.77,,,,,,
2000-06-27,22.38,22.38,22.38,22.38,0,22.38,59.66,59.66,59.31,59.31,13800,59.485,,,,,,,,,,,,,85.84,86.03,85.61,85.61,5900,85.82,56.0,56.0,55.59,55.59,14400,55.795,,,,,,
2000-06-28,22.36,22.45,22.35,22.45,6400,22.4,59.53,59.86,59.17,59.3,12200,59.515,,,,,,,,,,,,,85.52,86.69,85.52,86.61,6100,86.10499999999999,55.72,55.91,55.38,55.41,5800,55.644999999999996,,,,,,
2000-06-29,22.08,22.34,22.06,22.34,54400,22.2,59.0,59.16,58.73,58.73,11000,58.94499999999999,,,,,,,,,,,,,85.28,85.84,84.69,85.17,24100,85.265,55.0,55.2,55.0,55.2,300,55.1,,,,,,
2000-06-30,22.06,22.33,22.06,22.33,16000,22.195,59.0,59.06,58.5,58.52,27000,58.78,,,,,,,,,,,,,85.0,86.53,85.0,86.53,18600,85.765,55.31,55.33,54.81,54.81,7700,55.07,,,,,,
2000-07-03,22.58,22.7,22.58,22.7,4400,22.64,58.38,59.14,58.38,59.14,2500,58.760000000000005,,,,,,,,,,,,,86.39,87.27,86.39,87.27,17600,86.83,54.38,54.44,54.38,54.44,800,54.41,,,,,,
2000-07-05,22.38,22.42,22.17,22.23,229600,22.295,59.38,59.63,59.05,59.05,6100,59.34,,,,,,,,,,,,,86.47,86.47,84.72,84.72,22900,85.595,55.0,55.17,54.92,54.92,1100,55.045,,,,,,
2000-07-06,22.12,22.41,22.12,22.41,21200,22.265,59.33,59.42,58.98,59.16,5300,59.2,,,,,,,,,,,,,84.94,86.16,84.19,86.06,45500,85.175,54.98,55.13,54.81,54.81,12500,54.97,,,,,,
2000-07-07,22.42,22.88,22.42,22.88,22400,22.65,59.47,60.14,59.47,60.03,28100,59.805,,,,,,,,,,,,,87.23,88.36,87.23,87.81,6200,87.795,54.11,55.64,54.11,55.44,5500,54.875,,,,,,
2000-07-10,22.69,22.77,22.62,22.7,17600,22.695,60.3,60.33,60.08,60.08,22900,60.205,,,,,,,,,,,,,87.34,88.25,87.27,87.27,32400,87.75999999999999,55.69,55.77,55.5,55.5,64200,55.635000000000005,,,,,,
2000-07-11,22.8,22.81,22.52,22.63,136400,22.665,60.16,60.77,60.16,60.56,8400,60.465,,,,,,,,,,,,,87.42,88.38,86.81,87.27,30900,87.595,55.48,55.97,55.36,55.73,33600,55.665,,,,,,
2000-07-12,22.84,23.02,22.76,22.92,108800,22.89,61.06,61.09,60.69,60.69,29600,60.89,,,,,,,,,,,,,88.42,89.05,88.09,88.92,20500,88.57,56.14,56.14,55.77,55.77,1000,55.955,,,,,,
2000-07-13,22.96,23.09,22.88,22.95,12000,22.985,60.92,61.11,60.89,60.95,3800,61.0,,,,,,,,,,,,,89.38,90.17,89.11,89.66,9700,89.64,56.13,56.13,55.66,55.88,32300,55.894999999999996,,,,,,
